"Decatur"
"January 2019 - November 2019"
"Report Date: 12/12/2019 13:46 PM",
"Municipality","Establishment","License Number","VGT Count","Amount Played","Amount Won","Net Wager","Funds In","Funds Out","Net Terminal Income","NTI Tax","State Share","Municipality Share",
"Decatur","Trident Partners Decatur Crossings, LLC","140703997","5","7466862.3600","6845181.4500","621680.9100","2310905.0000","1689224.2400","621680.7600","194579.5500","163495.4900","31084.0600",
"Decatur","TUSCANY OF MLK INC.","180700965","5","806477.9600","732354.0500","74123.9100","315774.0000","241650.0900","74123.9100","23081.4700","19375.2600","3706.2100",
"Decatur","Van Dyke Video Gaming, Inc","150703967","5","7075961.4100","6469953.0000","606008.4100","2246307.0000","1640298.5900","606008.4100","189968.3000","159667.8300","30300.4700",
"Decatur","Variety Liquors, Inc.","120708465","5","4200851.4200","3809789.5400","391061.8800","1471036.0000","1079952.3800","391083.6200","122056.6200","102502.4200","19554.2000",
"Decatur","Ware Brands, Inc. ","150700089","5","8082904.8000","7268139.8600","814764.9400","2811099.0000","1996334.0600","814764.9400","254731.3700","213993.1000","40738.2700",
"Decatur","Whit's of Decatur, Inc.","120711444","5","2333289.2600","2117586.0000","215703.2600","743434.0000","527730.7600","215703.2400","67555.0100","56769.7700","10785.2400",
"Decatur","Wild Dog Saloon Incorporated","120705737","5","3669666.7700","3369012.4100","300654.3600","1070997.0000","770342.3900","300654.6100","94496.4500","79463.7500","15032.7000",
"Decatur","Winery One, Inc.","120711244","5","3428758.6300","3160128.5300","268630.1000","1271060.0000","1002429.6600","268630.3400","84028.5300","70597.0100","13431.5200",
"Decatur","ZANNIE SPATES","170702160","5","4827328.4900","4415406.9100","411921.5800","1596913.0000","1184932.4700","411980.5300","128996.7400","108397.6500","20599.0900",
"Decatur","Zejna Islamoski & Lavdrime Islamoski ","120707211","5","1950958.3400","1789645.0700","161313.2700","700326.0000","539012.7100","161313.2900","49858.6100","41792.9200","8065.6900",
