All Municipality Totals,,,,,,,,,,,
January 2019 - November 2019,,,,,,,,,,,
Report Date: 12/18/2019 20:59 PM,,,,,,,,,,,
Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
Braidwood,8,35,9393839.51,8615266.25,778573.26,3001731,2223156.5,778574.5,243949.6,205020.77,38928.83
Breese,11,47,14066894.62,12917934.84,1148959.78,4613801,3464804.19,1148996.81,360035.95,302585.85,57450.1
Bridgeport,6,24,5445898.68,5016526.1,429372.58,1586280,1156907.31,429372.69,133883.32,112414.58,21468.74
Bridgeview,30,148,94133614.89,86238139.26,7895475.63,30281403,22385659.72,7895743.28,2473051.88,2078263.67,394788.21
Brighton,1,4,1739485.91,1599602.89,139883.02,509174,369290.88,139883.12,44129.25,37135.08,6994.17
Brimfield,3,15,4467526.02,4082660.92,384865.1,1675545,1290629.45,384915.55,121574.51,102328.61,19245.9
Broadlands,1,5,1612404.99,1477766.02,134638.97,513473,378834.15,134638.85,42167.92,35435.91,6732.01
Broadview,5,24,18605949.12,16972966.18,1632982.94,6538899,4905895.01,1633003.99,511666.5,430016.03,81650.47
Brocton,1,5,972342.19,891051.97,81290.22,285378,204087.62,81290.38,25453.94,21389.36,4064.58
Brookfield,14,67,35044375.42,32077029.74,2967345.68,12085902,9118550.27,2967351.73,930860.6,782492.49,148368.11
Brookport,1,4,1966572.61,1795587.33,170985.28,515096,344105.37,170990.63,53630.6,45081.03,8549.57
Brown County,1,2,48620.28,42845.2,5775.08,17132,11356.92,5775.08,1650.97,1386.99,263.98
Brussels,2,6,710913.14,654603.5,56309.64,233758,177432.96,56325.04,17737.39,14921.12,2816.27
Bryant,1,4,1293391.76,1193445.49,99946.27,418804,318857.44,99946.56,30773.08,25775.71,4997.37
Buckley,3,15,4018716.56,3704592.84,314123.72,1218413,904288.26,314124.74,98979.58,83273.29,15706.29
Buckner,2,9,2517148.07,2306012.83,211135.24,839990,628854.61,211135.39,66126.99,55570.21,10556.78
Buda,1,2,959371.27,884633.99,74737.28,328119,253381.72,74737.28,22915.23,19178.35,3736.88
Buffalo,1,3,643471.67,589125.36,54346.31,204391,150044.69,54346.31,17148.67,14431.33,2717.34
Buffalo Grove,10,48,20944559.86,19243105.76,1701454.1,7126060,5424590.69,1701469.31,533005.73,447932.11,85073.62
Bull Valley,1,4,181729.28,167421.55,14307.73,76132,61824.27,14307.73,4467.87,3764.09,703.78
Bulpitt,2,10,4258307.34,3896488.02,361819.32,1398715,1036896.07,361818.93,113620.47,95529.37,18091.1
Buncombe,2,8,2636594.73,2438153.09,198441.64,652341,453889.57,198451.43,62230.45,52307.85,9922.6
Bunker Hill,4,20,6703836.99,6166977.68,536859.31,2156419,1619559.07,536859.93,167429.18,140586.01,26843.17
Burbank,24,117,102786914.1,94781982.74,8004931.35,33739116,25734142.91,8004973.09,2509682.11,2109432.72,400249.39
Bureau,1,5,1160270.6,1070246.88,90023.72,362586,272562.33,90023.67,27928.65,23427.47,4501.18
Bureau County,4,15,1035203.3,944891.44,90311.86,374085,283773.28,90311.72,29064.68,24549.1,4515.58
Burlington,2,10,1666952.25,1524841.72,142110.53,564843,422711.13,142131.87,44540.68,37434.01,7106.67
Burnham,3,15,11026171.68,10161725.41,864446.27,4046540,3182083.08,864456.92,270550.73,227327.79,43222.94
Bushnell,5,20,6267536.44,5751830.5,515705.94,2020752,1504897.99,515854.01,161087.93,135295.21,25792.72
Byron,9,41,15996978.15,14674750.07,1322228.08,5462512,4140294.11,1322217.89,414430.66,348319.6,66111.06
Cabery,1,4,841003.98,760011.74,80992.24,266022,185029.55,80992.45,25204.79,21155.13,4049.66
Cahokia,17,76,23118544.58,21276568.8,1841975.78,7347102,5505022.55,1842079.45,578461.68,486357.26,92104.42
Cairo,4,18,8811919.91,8048725.95,763193.96,3038797,2275596.49,763200.51,239871.96,201711.81,38160.15
Calhoun County,4,17,3510725.72,3261866.44,248859.28,1098592,849718.87,248873.13,78333.68,65889.86,12443.82
Calumet City,20,91,61337312.95,56387483.96,4949828.99,21085455,16135617.99,4949837.01,1552043.96,1304551.57,247492.39
Calumet Park,12,54,47058466.07,43121621.08,3936844.99,16763804,12826835.48,3936968.52,1236872.58,1040023.84,196848.74
Cambridge,3,11,2510723.99,2310198.31,200525.68,767580,567026.32,200553.68,62828.01,52800.23,10027.78
Camp Point,2,7,1118075.98,1015611.05,102464.93,357681,255215.75,102465.25,32009.89,26886.61,5123.28
Campbell Hill,2,8,3638198.96,3376509.66,261689.3,1036917,775227.56,261689.44,82148.12,69063.67,13084.45
Campus,1,3,754751.46,678132.53,76618.93,271100,194481.07,76618.93,24041.83,20210.87,3830.96
Canton,12,58,31191615.74,28808051.76,2383563.98,9334365,6950747.15,2383617.85,746415.42,627234.24,119181.18
Cantrall,1,3,1219074.94,1124895.94,94179,292262,198083,94179,29655.91,24946.97,4708.94
Capron,2,10,3189283.22,2943751.94,245531.28,1051080,805548.73,245531.27,76579.41,64302.78,12276.63
Carbon Cliff,2,10,3145687.45,2866697.14,278990.31,979254,700263.55,278990.45,87098.41,73148.8,13949.61
Carbon Hill,2,9,3234731.41,2981146.56,253584.85,981931,728345.95,253585.05,79625.76,66946.48,12679.28
Carbondale,25,110,56005231.53,51712229.96,4293001.57,18173241,13880179.64,4293061.36,1345473.79,1130820.04,214653.75
Carlinville,12,54,22416754.82,20583128.98,1833625.84,6441775,4608130.11,1833644.89,576246.01,484563.56,91682.45
Carlyle,11,48,15016720.37,13751215.29,1265505.08,4761909,3495960.18,1265948.82,398466.81,335169.01,63297.8
Carmi,11,49,18829871.03,17358869.37,1471001.66,5181025,3710023.06,1471001.94,460788.35,387238.04,73550.31
Carol Stream,16,80,69064835.82,63399113.47,5665722.35,22027550,16361453.02,5666096.98,1778187.53,1494882.06,283305.47
Carpentersville,29,137,76776622.23,70398057.91,6378564.32,26485935,20106811.94,6379123.06,2002306.61,1683349.49,318957.12
Carrier Mills,2,10,4582434.27,4274151.93,308282.34,1177439,869156.38,308282.62,96495.55,81081.34,15414.21
Carroll County,3,12,3201440.06,2970085.48,231354.58,940988,709588.23,231399.77,73544.99,61974.98,11570.01
Carrollton,8,37,8816038.98,8141913.1,674125.88,2728760,2054632.83,674127.17,211420.22,177713.74,33706.48
Carterville,1,5,4766632.75,4380319.62,386313.13,1406939,1020583.87,386355.13,121516.86,102199.04,19317.82
Carthage,3,13,4057679.57,3714076.87,343602.7,1299475,955872.3,343602.7,108278.42,91098.11,17180.31
Cary,10,47,20557268.95,18776719.17,1780549.78,6888804,5108236.16,1780567.84,559188.47,470159.8,89028.67
Casey,5,22,10198318.28,9405286.48,793031.8,2913051,2119993.82,793057.18,249784.82,210131.96,39652.86
Caseyville,17,73,40970922.37,37563062.62,3407859.75,12896186,9488180.07,3408005.93,1066213.99,895813.15,170400.84
Cass County,1,5,1009885.95,921498.01,88387.94,313662,225274.06,88387.94,27677.54,23258.12,4419.42
Catlin,2,8,2007438.18,1837498.95,169939.23,649265,479325.15,169939.85,53428.87,44931.81,8497.06
Cedar Point,2,8,2854909.43,2620189.74,234719.69,911281,676561.25,234719.75,74382.79,62646.79,11736
Cedarville,1,6,102161.61,96394.88,5766.73,33437,27670.27,5766.73,1903.05,1614.71,288.34
Central City,5,25,17792650.38,16461042.92,1331607.46,5287892,3956260.54,1331631.46,417922.79,351341.15,66581.64
Centralia,20,97,57166578.07,52820646.24,4345931.83,16096129,11750150.68,4345978.32,1362315.2,1145015.67,217299.53
Centreville,2,9,7760890.63,7066280.02,694610.61,2755905,2061231.99,694673.01,218365.23,183631.51,34733.72
