All Municipality Totals,,,,,,,,,,,
January 2019 - November 2019,,,,,,,,,,,
Report Date: 12/18/2019 20:59 PM,,,,,,,,,,,
Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
Lansing,16,76,50222429.88,46203899.8,4018530.08,17309646,13291095.88,4018550.12,1261706.61,1060778.4,200928.21
Lawrence County,7,34,33207472.6,30511709.34,2695763.26,9371455,6675686.81,2695768.19,845566.07,710777.38,134788.69
Lawrenceville,11,52,14710180.59,13594370.73,1115809.86,4103912,2988030.26,1115881.74,350292.58,294498.27,55794.31
Leaf River,2,7,995199.41,915299.03,79900.38,347935,268034.9,79900.1,25034.22,21039.17,3995.05
Lebanon,8,35,15873317.29,14607865.29,1265452,4807366,3541888.47,1265477.53,398061.63,334787.36,63274.27
Lee,1,5,841669.76,761018.42,80651.34,319214,238562.66,80651.34,25424.15,21391.56,4032.59
Lee County,7,29,10111712.93,9260390.16,851322.77,3166026,2314695.87,851330.13,267964.21,225397.52,42566.69
Leland,1,5,1206093.41,1107154.1,98939.31,383235,284295.75,98939.25,31111.1,26164.09,4947.01
Lemont,23,107,59111263.18,54518150.36,4593112.82,18638096,14044887.82,4593208.18,1440795.07,1211134.01,229661.06
Lena,4,20,5518023.82,5052339.17,465684.65,1689235,1223471.37,465763.63,146474.39,123186.09,23288.3
Lenzburg,2,8,4959693.79,4569250.18,390443.61,1299494,909050.09,390443.91,121708.13,102185.89,19522.24
Leonore,1,4,1022530.64,929778.63,92752.01,345823,253071.04,92751.96,29054.51,24416.89,4637.62
Leroy,6,30,15946437.53,14610349.22,1336088.31,4822321,3486187.93,1336133.07,418445.38,351638.47,66806.91
Lewistown,6,28,5905930.48,5418109.58,487820.9,1801679,1313857.06,487821.94,153481.72,129090.47,24391.25
Lexington,4,18,3265209.68,2973095.9,292113.78,957725,665611.04,292113.96,91655.45,77049.62,14605.83
Liberty,1,5,251966.62,227639.75,24326.87,97889,73562.13,24326.87,7700.92,6484.56,1216.36
Lily Lake,1,5,5990115.76,5528572.6,461543.16,1720032,1258488.84,461543.16,145046.55,121969.32,23077.23
Limestone,1,5,1402828.69,1289697.57,113131.12,436497,323365.95,113131.05,35482.2,29825.6,5656.6
Lincoln,18,90,71769971.9,65824296.69,5945675.21,22964130,17018353.31,5945776.69,1862879.26,1565589.93,297289.33
Lindenhurst,4,20,14052665.02,12855022.61,1197642.41,4680891,3483248.29,1197642.71,376772.84,316890.61,59882.23
Litchfield,15,70,39363834.08,36028496.58,3335337.5,11705911,8370396.79,3335514.21,1047251.35,880475.31,166776.04
Little York,1,3,661088.09,605002.79,56085.3,198721,142635.55,56085.45,17404.59,14600.29,2804.3
Livingston,3,13,4128109.7,3808247.89,319861.81,1251086,931224.28,319861.72,100455.02,84461.87,15993.15
Livingston County,4,14,3743275.55,3459349.96,283925.59,1235433,951506.93,283926.07,89471.09,75274.72,14196.37
Loami,1,3,442602.79,401652.26,40950.53,154296,113345.31,40950.69,12833.46,10785.92,2047.54
Lockport,18,85,53007964.13,48719486.19,4288477.94,16473547,12184988.95,4288558.05,1345941.97,1131513.54,214428.43
Loda,2,9,4865286.21,4501538.72,363747.49,1634315,1270537.91,363777.09,114182.94,95993.99,18188.95
Logan County,5,24,8639330.24,7991375.43,647954.81,2606018,1958027.91,647990.09,203694.24,171294.55,32399.69
Lomax,2,9,3164042.62,2932759.53,231283.09,880591,649307.91,231283.09,72870.72,61306.5,11564.22
London Mills,2,8,1998048.74,1849782.87,148265.87,613015,464747.01,148267.99,46412.22,38998.74,7413.48
Long Creek,3,15,13608660.71,12547104.66,1061556.05,4633227,3571670.5,1061556.5,332271.71,279193.7,53078.01
Long Grove,5,21,4853653.23,4426695.28,426957.95,1504820,1077798.55,427021.45,133479.4,112128.18,21351.22
Long Point,1,5,900367.51,828416.42,71951.09,292155,220203.82,71951.18,22611.22,19013.64,3597.58
Loraine,1,4,1463829.83,1341244.21,122585.62,415421,292835.38,122585.62,38567.6,32438.28,6129.32
Lostant,1,5,366381.12,326582.6,39798.52,144577,104778.48,39798.52,13133.53,11143.6,1989.93
Louisville,1,5,493694.67,450269.96,43424.71,163186,119761.29,43424.71,13825.77,11654.51,2171.26
Loves Park,58,285,216059611.3,198087044.5,17972566.74,69382298.5,51409300.47,17972998.03,5632561.82,4733909.84,898651.98
Lovington,2,10,2559680.67,2374548.33,185132.34,816558,631425.5,185132.5,57896.16,48639.46,9256.7
Ludlow,1,3,1739248.16,1624548.22,114699.94,430776,316076.06,114699.94,35864.59,30129.59,5735
Lyndon,3,15,3803251.66,3463383.73,339867.93,1271754,931886.24,339867.76,106654.72,89661.24,16993.48
Lynwood,14,70,51384712.3,47379030.01,4005682.29,15773938,11768242,4005696,1257260,1056974.71,200285.29
Lyons,20,100,72692527.79,66526135.78,6166392.01,23868882,17702391.33,6166490.67,1931031.67,1622706.59,308325.08
Machesney Park,15,73,52456397.53,48207062.99,4249334.54,16609960,12360622.8,4249337.2,1327803.26,1115336.02,212467.24
Mackinaw,1,4,1467473.42,1348674.48,118798.94,490015,371215.82,118799.18,37245.9,31305.92,5939.98
Macomb,11,41,15953779.28,14645092.74,1308686.54,4795017,3486329.62,1308687.38,411948.44,346514.02,65434.42
Macon,3,15,7175695.77,6578979.67,596716.1,2292133,1695469.14,596663.86,186961.39,157128.13,29833.26
Macon County,4,20,8655957.72,7936680.99,719276.73,3123748,2404289.28,719458.72,222855.83,186882.79,35973.04
Macoupin County,6,19,3880335.69,3570297.36,310038.33,1127181,817142.22,310038.78,97397.13,81895.23,15501.9
Madison,13,63,39216628.57,35808433.62,3408194.95,12222620,8814191.34,3408428.66,1067727.94,897306.11,170421.83
Madison County,33,148,78690126.45,72493991.37,6196135.08,23036055,16839546.06,6196508.94,1946982.37,1637156.22,309826.15
Maeystown,2,10,300070.14,287403.79,12666.35,83356,70688.27,12667.73,3875.83,3242.44,633.39
Magnolia,1,5,603438.17,549638.16,53800.01,213389,159588.94,53800.06,16774.55,14084.5,2690.05
Mahomet,4,19,10108030.59,9254224.2,853806.39,3319197,2465334.28,853862.72,267595.55,224902.3,42693.25
Malta,2,8,2880937.92,2633221.47,247716.45,859162,611445.38,247716.62,77382.79,64996.9,12385.89
Manhattan,7,36,19974035.13,18506657.87,1467377.26,6780857,5313474.68,1467382.32,461954.51,388585.26,73369.25
Manito,3,13,4938298.2,4550927.55,387370.65,1704159,1316772.79,387386.21,121454.03,102084.66,19369.37
Manlius,2,7,1361865.63,1255183.7,106681.93,508315,401632.42,106682.58,33371.76,28037.62,5334.14
Mansfield,2,10,2679280.47,2459950.99,219329.48,889121,669791.38,219329.62,68927.96,57961.45,10966.51
Manteno,12,58,38569429.09,35353452.08,3215977.01,12851806,9635658.36,3216147.64,1008548.57,847740.76,160807.81
Maple Park,4,17,5942299.55,5416027.36,526272.19,1993409,1467137.01,526271.99,164634.48,138320.75,26313.73
Mapleton,1,5,399793.55,371690.14,28103.41,138215,110111.59,28103.41,9274.12,7868.94,1405.18
Maquon,1,3,877457.35,808355.19,69102.16,288777,219674.74,69102.26,21846.37,18391.21,3455.16
Marengo,12,59,22737922.14,20800172.16,1937749.98,7760449,5822684.55,1937764.45,608241.09,511352.35,96888.74
Marietta,2,10,2884216.38,2654935.94,229280.44,822553,593271.76,229281.24,71797.15,60333.08,11464.07
Marine,2,9,4697389.03,4340377.38,357011.65,1575539,1218527,357012,111748.98,93898.37,17850.61
Marion,34,158,75687563.23,69375124.65,6312438.58,23146009,16833442.86,6312566.14,1978949.35,1663320.11,315629.24
Marion County,4,15,7872550.18,7245329.29,627220.89,2380018,1752697.1,627320.9,196699.14,165333.05,31366.09
Marissa,4,19,2241299.68,2057494.56,183805.12,712815,529010.22,183804.78,57405.53,48215.26,9190.27
Mark,1,5,1571705.62,1448868.43,122837.19,517315,394477.7,122837.3,38350.45,32208.54,6141.91
Markham,14,70,47315842,43360142.94,3955699.06,16847287,12891404.88,3955882.12,1242460.66,1044666.18,197794.48
Maroa,3,14,4814881.98,4414878.46,400003.52,1736612,1336608.39,400003.61,124773.37,104773.08,20000.29
Marseilles,10,46,19211854.23,17696900.27,1514953.96,5905251,4390076.51,1515174.49,474770.68,399011.65,75759.03
Marshall,7,36,33924664.84,31060923.92,2863740.92,9337982,6474188.74,2863793.26,898907.13,755717.33,143189.8
Martinsville,2,10,7234069.62,6689415.09,544654.53,1990495,1445815.86,544679.14,170501.09,143267.09,27234
Martinton,1,3,925491.11,845869.29,79621.82,210392,130770.18,79621.82,24964.61,20983.5,3981.11
Mascoutah,10,40,30497732.52,28052191.63,2445540.89,9685143,7239417.93,2445725.07,767007.73,644721.1,122286.63
Mason City,5,22,6726280.75,6192374.85,533905.9,2245780,1711808.42,533971.58,167184.38,140485.67,26698.71
Mason County,6,23,4411313.93,4046920.9,364393.03,1404844,1040389.87,364454.13,114027.55,95804.68,18222.87
Matherville,1,3,816032.91,757197.23,58835.68,205588,146752.32,58835.68,18586.27,15644.5,2941.77
Matteson,13,61,34778438.95,31841544.43,2936894.52,12919838,9982912.7,2936925.3,917790.56,770943.85,146846.71
Mattoon,29,143,89975053.95,82633060.53,7341993.42,28368924,21026885.17,7342038.83,2301573.28,1934470.58,367102.7
Maywood,1,5,4217634,3834204.76,383429.24,1496381,1112951.76,383429.24,120313.34,101141.83,19171.51
Mazon,1,5,2092114.42,1945854.23,146260.19,700450,554189.74,146260.26,45917.36,38604.28,7313.08
McClure,1,5,1111522.16,1018651.23,92870.93,308841,215970.07,92870.93,28726.19,24082.59,4643.6
McCook,6,29,18018973.27,16582142.76,1436830.51,5870161,4433317.31,1436843.69,450602.06,378759.64,71842.42
McCullom Lake,3,16,5627346.48,5138151.23,489195.25,2022231,1533035.68,489195.32,153558.87,129098.95,24459.92
McDonough County,1,3,384618.23,350426.4,34191.83,120486,86293.91,34192.09,10739.45,9029.86,1709.59
McHenry,38,180,107818933.5,98872931.88,8946001.57,36343610,27397413.93,8946196.07,2807523.68,2360212.61,447311.07
McHenry County,35,165,64738926.62,59103293.21,5635633.41,22242933,16606803.52,5636129.48,1762156.22,1480348.72,281807.5
McLean,1,5,7119253.41,6562624.85,556628.56,2149517,1592551.59,556965.41,174949.23,147100.95,27848.28
McLean County,7,24,14330695.67,13113021.79,1217673.88,4524121.5,3306433.28,1217688.22,382330.91,321446.29,60884.62
Mcleansboro,3,15,4935742.58,4526672.02,409070.56,1432069,1022997.54,409071.46,128110.26,107656.64,20453.62
McNabb,1,4,726552.66,670754.37,55798.29,247264,191465.71,55798.29,16828.07,14143.21,2684.86
Mechanicsburg,4,18,3635879.54,3295673.75,340205.79,1238568,898358.62,340209.38,106868.28,89857.68,17010.6
Melrose Park,29,133,87640705.1,79959933.39,7680771.71,29371899,21691063.96,7680835.04,2410715.21,2026672.39,384042.82
Melvin,1,5,588446.31,538767.29,49679.02,260013,210333.97,49679.03,16195.71,13711.73,2483.98
Menard County,3,13,4027738.81,3741917.09,285821.72,1248288,962402.92,285885.08,89889.81,75595.52,14294.29
Mendon,3,15,4793190.41,4386629.62,406560.79,1433825,1027237.17,406587.83,127628.54,107299.05,20329.49
Mendota,18,81,32994336.07,30233757.76,2760578.31,10121395,7360703.28,2760691.72,865902.31,727867.22,138035.09
Menominee,2,6,333993.51,301224.47,32769.04,103747,70977.42,32769.58,10499.36,8860.91,1638.45
Meredosia,2,10,4886913.6,4495441.1,391472.5,1554990,1163516,391474,122722.49,103148.69,19573.8
Merrionette Park,4,17,24442894.56,22381707.76,2061186.8,7943459,5882255.87,2061203.13,646650.99,543590.73,103060.26
Metamora,3,14,4237175.87,3918722.47,318453.4,1324156,1005702.6,318453.4,100657.77,84735.02,15922.75
Metcalf,1,5,1068043.06,979124.65,88918.41,312945,224026.59,88918.41,27017.41,22571.45,4445.96
Metropolis,13,59,39527566.6,36225582.89,3301983.71,10683067,7381131.11,3301935.89,1035366.11,870268.98,165097.13
Middletown,1,4,1042615.25,969328.52,73286.73,294504,221217.54,73286.46,23164.45,19500.13,3664.32
Midlothian,28,139,71710921.98,65850108.71,5860813.27,24219853,18359265.33,5860587.67,1837386.03,1544355.79,293030.24
Milan,14,65,21076346.03,19207293.93,1869052.1,6224076,4355023.57,1869052.43,585453.81,492000.84,93452.97
Milford,2,9,2011938.75,1833394.49,178544.26,700108,521563.74,178544.26,55839.53,46912.21,8927.32
Milledgeville,4,17,3638593.78,3326117.24,312476.54,1290910,978432.96,312477.04,97906.75,82282.77,15623.98
Millington,2,9,1971457.86,1783542.16,187915.7,689811,501884.55,187926.45,59298.28,49901.87,9396.41
Millstadt,8,33,14072348.26,13006468.02,1065880.24,4223679,3157768.77,1065910.23,334030.05,280734.27,53295.78
Mineral,1,5,2330426.23,2120673.9,209752.33,811822,602069.67,209752.33,65609.71,55122.04,10487.67
Minier,3,13,3282702.43,3018931.87,263770.56,1086939,823168.4,263770.6,82422.56,69233.85,13188.71
Minonk,5,21,8023137.34,7378332.15,644805.19,2517815,1873010.01,644804.99,202098.08,169857.69,32240.39
Minooka,9,39,16046601.2,14748312.87,1298288.33,4935354,3637052.53,1298301.47,407066.06,342150.79,64915.27
Mokena,19,93,78263275.75,72119780.02,6143495.73,24648562,18503262.54,6145299.46,1929761.54,1622496.03,307265.51
Moline,39,167,72389355.17,65998210.5,6391144.67,22241257,15849949.04,6391307.96,2003156.22,1683589.7,319566.52
Momence,7,29,12386466.43,11369964.19,1016502.24,4038132,3021442.99,1016689.01,318588.38,267753.74,50834.64
Monee,9,44,32817729.21,30036519.84,2781209.37,10434552,7653488.37,2781063.63,871238.25,732184.78,139053.47
Monmouth,13,55,16633018.65,15188232.59,1444786.06,5535431,4090539.7,1444891.3,451232.44,378987.68,72244.76
Monroe Center,4,20,9842085.69,9099246.25,742839.44,3048566,2305686.99,742879.01,234446.73,197302.68,37144.05
Monroe County,5,20,5929158.77,5478074.82,451083.95,1829110,1378021.59,451088.41,141788.27,119233.83,22554.44
Montgomery,11,54,32763595.04,30116624.1,2646970.94,10345356,7698349.86,2647006.14,831853.16,699502.46,132350.7
Montgomery County,2,6,302044.91,281403.76,20641.15,90209,69567.7,20641.3,6312.66,5288.82,1023.84
Monticello,10,46,22909840.42,20964587.5,1945252.92,7328607,5383344.63,1945262.37,612798.05,515534.71,97263.34
Montrose,1,5,3263343.01,2998939.49,264403.52,1105733,841329.28,264403.72,82603.83,69383.55,13220.28
Morgan County,4,19,13755961.12,12627596.53,1128364.59,4201721,3073331.22,1128389.78,353296.87,296877.26,56419.61
Morris,26,119,62442295.35,56940073.45,5502221.9,20774956,15272430.69,5502525.31,1723935.41,1448808.21,275127.2
Morrison,4,20,7294547.11,6664362.99,630184.12,2278875,1648668.35,630206.65,198300.87,166790.42,31510.45
Morrisonville,3,16,2818336.65,2591995.15,226341.5,835194,608850.3,226343.7,71317.98,60000.78,11317.2
Morton Grove,9,45,70159192.69,64532165.87,5627026.82,21784282,16156895.1,5627386.9,1763218.34,1481848.65,281369.69
Moultrie County,6,25,13681902.04,12626820.27,1055081.77,4249445,3194354.9,1055090.1,330619.59,277864.96,52754.63
Mound City,1,4,803684.33,747064.05,56620.28,245009,188388.65,56620.35,17431.13,14621.67,2809.46
Mounds,1,3,948541.24,868996.81,79544.43,212744,133199.59,79544.41,25062.82,21085.6,3977.22
Mount Auburn,2,10,1876274.76,1717552.6,158722.16,525743,367020.64,158722.36,50112.33,42176.15,7936.18
Mount Carmel,9,42,18201438.86,16682601.07,1518837.79,4762214,3243375.93,1518838.07,476971.15,401028.96,75942.19
Mount Carroll,4,17,3545875.16,3249996.4,295878.76,1109429,813549.71,295879.29,92585.94,77791.86,14794.08
Mount Clare,2,10,5120517.3,4712821.09,407696.21,1535682,1127990.89,407691.11,128603.82,108219.24,20384.58
Mount Morris,7,31,8318674.47,7656781.68,661892.79,2929725,2267827.39,661897.61,207613.35,174518.28,33095.07
Mount Olive,8,37,11253589.8,10356045.77,897544.03,3102273,2204405.93,897867.07,281453.44,236559.93,44893.51
Mount Prospect,10,45,10261511.91,9402859.58,858652.33,3657636,2798962.47,858673.53,273596.48,230662.68,42933.8
Mount Pulaski,3,15,4964812.94,4573086.83,391726.11,1609849,1218122.8,391726.2,122645.6,103059.16,19586.44
Mount Sterling,4,16,3903350.32,3567152.89,336197.43,1192438,856240.47,336197.53,106068.39,89258.45,16809.94
Mount Vernon,30,141,101713760.6,93522266.04,8191494.55,30659740,22467944.93,8191795.07,2566900.22,2157309.62,409590.6
Mount Zion,4,19,8132935,7469330.9,663604.1,2773695,2110088.72,663606.28,207515.87,174335.49,33180.38
Moweaqua,3,11,3783865.94,3454206.79,329659.15,1214103,884443.74,329659.26,103644.05,87160.97,16483.08
Muddy,1,5,945910.06,879787.17,66122.89,243463,177340.11,66122.89,20472.19,17166.03,3306.16
Mulberry Grove,2,9,561009.75,522226.86,38782.89,177560,138777.04,38782.96,11774.93,9835.75,1939.18
Mundelein,16,75,39162077.26,35732640.12,3429437.14,13170859,9741364.35,3429494.65,1074081.94,902606.72,171475.22
Murphysboro,9,45,24184619.95,22393029.4,1791590.55,7143137,5351546.5,1791590.5,561380.3,471800.4,89579.9
Naplate,4,17,5616823.7,5228125.34,388698.36,1886278,1497580.47,388697.53,122303.52,102868.56,19434.96
Naples,1,3,262702.3,243338,19364.3,94194,74829.72,19364.28,6210.81,5242.58,968.23
Nashville,12,58,26590124.03,24518888.83,2071235.2,8557443,6486093.77,2071349.23,648113.85,544546.21,103567.64
Nason,1,5,1511158.16,1392662.73,118495.43,475825,357329.57,118495.43,37327.61,31402.81,5924.8
Nebo,1,5,986579.93,919172.46,67407.47,340973,273565.82,67407.18,21051.68,17681.3,3370.38
Nelson,1,5,1876245.33,1713500.85,162744.48,627092,464347.45,162744.55,51304.9,43167.68,8137.22
Neoga,3,13,5788463.72,5329003.39,459460.33,1739330,1279869.85,459460.15,143865.96,120892.8,22973.16
Neponset,2,9,2575987.96,2386786.44,189201.52,917488,728286.23,189201.77,59226.9,49766.74,9460.16
New Athens,4,19,3656933.1,3330551.25,326381.85,1176544,850152.15,326391.85,102373.24,86053.53,16319.71
New Baden,4,15,11227377.97,10323510.09,903867.88,3462916,2559040.02,903875.98,283435.2,238241.38,45193.82
New Berlin,4,20,7637153.25,7017854.91,619298.34,2395962,1776663.01,619298.99,194593.61,163628.66,30964.95
New Boston,2,9,3830724.79,3526653.22,304071.57,995666,691594.4,304071.6,95151.68,79948.04,15203.64
New Canton,3,7,0,0,0,0,0,0,0,0,0
New Douglas,1,4,1173441.85,1079859.49,93582.36,324906,231323.42,93582.58,29272.93,24593.78,4679.15
New Haven,1,5,1903075.29,1766576.88,136498.41,630932,494433.59,136498.41,42652.82,35827.84,6824.98
New Holland,1,3,752385.14,691446.77,60938.37,245003,184064.29,60938.71,19071.34,16024.36,3046.98
New Lenox,18,84,62424615.04,57501472.99,4923142.05,19606942,14684024.46,4922917.54,1546437.81,1300291.46,246146.35
New Milford,4,20,11802688.03,10862039.15,940648.88,3657383,2716734.06,940648.94,294302.97,247270.45,47032.52
New Minden,2,10,1364368.43,1240763.35,123605.08,511468,387862.92,123605.08,38838.4,32658.08,6180.32
Newark,1,5,2389548.38,2207499.66,182048.72,755884,573835.28,182048.72,56832.38,47729.96,9102.42
Newman,3,13,3758926.54,3467328.84,291597.7,1287301,995701.45,291599.55,92515.49,77935.46,14580.03
Newton,8,33,8078226.88,7405466.21,672760.67,2455039,1782236.14,672802.86,211697.64,178057.39,33640.25
Niantic,1,3,886507.07,825187.6,61319.47,227886,166566.65,61319.35,19441.62,16375.64,3065.98
Niles,29,145,99546742.86,91548597.5,7998145.36,31703439,23705239.1,7998199.9,2511251.08,2111340.16,399910.92
Nokomis,5,21,4337560.45,3997495.65,340064.8,1269815,929695.13,340119.87,106605.17,89599.06,17006.11
Nora,1,2,760890.86,693527.67,67363.19,266623,199259.81,67363.19,21163.07,17794.89,3368.18
Normal,16,72,52869972.75,48408445.53,4461527.22,18024917,13563362.99,4461554.01,1397588.21,1174510.03,223078.18
Norridge,10,48,56753215.11,52235444.54,4517770.57,17824696,13306898.25,4517797.75,1416381.14,1190490.83,225890.31
Norris,1,3,654676.6,596513.47,58163.13,221708,163544.87,58163.13,18251.32,15343.15,2908.17
Norris City,4,17,4921277.78,4515442.06,405835.72,1548731,1142894.98,405836.02,127748.25,107456.43,20291.82
North Aurora,7,33,23733435.7,21793998.53,1939437.17,7121212,5181423.2,1939788.8,606853.9,509864.2,96989.7
North Chicago,17,83,54504785.36,49966467.43,4538317.93,19518664,14980440.13,4538223.87,1425423.01,1198511.27,226911.74
North City,1,5,2758805.42,2506077.87,252727.55,979354,726626.73,252727.27,78845.08,66208.67,12636.41
North Pekin,5,24,13968976.08,12849091.67,1119884.41,4314020,3194103.06,1119916.94,350032.98,294037.01,55995.97
North Riverside,16,79,72142376.24,66188634.11,5953742.13,24414194,18460328.98,5953865.02,1869082.82,1571389.08,297693.74
North Utica,7,31,15912498.2,14681334.54,1231163.66,4897437,3666205.64,1231231.36,386592.15,325030.44,61561.71
Northlake,12,58,26450475.41,24287934.75,2162540.66,8226946,6064253.75,2162692.25,678677.1,570542.13,108134.97
Norwood,1,5,1975659,1810934.62,164724.38,618572,453847.62,164724.38,51467.83,43231.64,8236.19
O'Fallon,15,70,37264127.59,34345440.69,2918686.9,11941212,9021811.81,2919400.19,914007.15,768036.74,145970.41
Oak Forest,19,91,66157549.81,60839330.24,5318219.57,21524162,16205907.67,5318254.33,1665482.81,1399569.57,265913.24
Oak Grove,1,5,5125164,4662029.65,463134.35,1504725,1041570.65,463154.35,145017.64,121859.92,23157.72
Oak Lawn,41,202,173546454.5,159871022.9,13675431.61,55488136.85,41812111.55,13676025.3,4286819.49,3603016.76,683802.73
Oakbrook Terrace,14,69,68550428.13,63103517.16,5446910.97,21850126,16402101.39,5448024.61,1713239.23,1440837.54,272401.69
Oakdale,2,9,1331473.35,1215105.8,116367.55,455054,338686.25,116367.75,37181.12,31362.74,5818.38
Oakford,1,4,1759654.6,1615166.67,144487.93,550772,406283.89,144488.11,45091.55,37867.13,7224.42
Oakland,1,5,0,0,0,0,0,0,0,0,0
Oakwood,4,20,18907549.43,17334242.96,1573306.47,5758060,4184762.18,1573297.82,493771.19,415106.19,78665
Oakwood Hills,1,4,205729.02,188905.62,16823.4,76004,59106.6,16897.4,5262.89,4418,844.89
Oblong,2,8,2770954.11,2551905.07,219049.04,775117,556067.96,219049.04,68880.44,57927.97,10952.47
Oconee,1,5,3225126.99,2973285.4,251841.59,964141,712299.52,251841.48,79335.12,66743.04,12592.08
Odell,3,11,3235785.98,2966193.89,269592.09,881984,612391.72,269592.28,84484.88,71005.14,13479.74
Ogden,6,27,8874108.93,8145874.29,728234.64,2970745,2242487.97,728257.03,227983,191569.96,36413.04
Ogle County,7,30,4588985.5,4197381.15,391604.35,1598360,1206754.26,391605.74,122955.69,103375.3,19580.39
Oglesby,15,68,24264015.38,22314555.75,1949459.63,7674645,5725180.58,1949464.42,611504.44,514030.72,97473.72
Ohio,2,8,1580458.16,1448119.79,132338.37,476853,344508.5,132344.5,41614.22,34996.97,6617.25
Ohlman,1,5,1961307.69,1797328.45,163979.24,681274,517294.86,163979.14,51771.66,43572.7,8198.96
Okawville,7,28,10942427.1,10063219.67,879207.43,3407090,2527891.02,879198.98,275382.69,231422.54,43960.15
Old Shawneetown,1,3,699565.2,644137.55,55427.65,181737,126309.15,55427.85,17294.61,14523.21,2771.4
Olney,12,54,31966841.98,29403381.47,2563460.51,9109382,6545805.75,2563576.25,804186.93,676007.86,128179.07
Olympia Fields,3,13,9350987.71,8573201.58,777786.13,3284062,2506274.32,777787.68,243537.96,204648.53,38889.43
Onarga,1,4,1907462.43,1763449.99,144012.44,802472,658453.56,144018.44,45278.69,38077.75,7200.94
Oquawka,5,23,5390659.08,4953338.34,437320.74,1559374,1121926.85,437447.15,137379.95,115507.47,21872.48
Orangeville,3,13,2649145.61,2433964.06,215181.55,890366,675131.95,215234.05,67270.51,56508.72,10761.79
Oreana,1,5,2354278.42,2151158.24,203120.18,756661,553540.82,203120.18,63969.9,53813.88,10156.02
Oregon,13,57,27580421.35,25197680.75,2382740.6,8983702,6600862.82,2382839.18,747188.93,628046.64,119142.29
Orient,2,9,3059395.12,2797334,262061.12,936690,674628.51,262061.49,81048.03,67944.94,13103.09
Orion,4,17,3719883.28,3406575.27,313308.01,1220732,907423.84,313308.16,98371.13,82705.61,15665.52
Orland Hills,4,20,25760859.83,23709514.68,2051345.15,7800364,5748877.39,2051486.61,640649.55,538075.07,102574.48
Orland Park,19,92,34312425.66,31534080.42,2778345.24,11558321,8779794.58,2778526.42,876283.16,737356.35,138926.81
Oswego,12,60,43138701.03,39569085.43,3569615.6,14296274,10726509.82,3569764.18,1119297.43,940808.75,178488.68
Ottawa,43,198,103483174.5,95336467.19,8146707.27,34447106,26300334.13,8146771.9,2556030.07,2148690.13,407339.94
Palestine,3,12,2255344.09,2062869.29,192474.8,669461,476892.82,192568.18,60130.49,50502.02,9628.47
Palmyra,3,13,2721155.35,2501427.27,219728.08,864446,644670.09,219775.91,68826.14,57837.3,10988.84
Palos Hills,11,51,35587133.6,32754996.36,2832137.24,11079749,8247527.25,2832221.75,887149.05,745537.68,141611.37
Pana,13,61,30639794.5,28226975.33,2412819.17,9352320,6939440.93,2412879.07,755568.65,634924.34,120644.31
Panama,3,13,3860160.38,3563332.65,296827.73,1044221,747306.62,296914.38,92713.33,77867.56,14845.77
Paris,13,59,36910763.87,33868360.75,3042403.12,10399914,7357488.31,3042425.69,953532.75,801411.03,152121.72
Park City,2,10,8070169.62,7364384.27,705785.35,2941925,2236139.48,705785.52,221956.22,186666.92,35289.3
Park Forest,7,33,8706377.14,7933138,773239.14,3222408,2449163.08,773244.92,243058.25,204395.85,38662.4
Patoka,2,10,4494087.93,4145837.29,348250.64,1391128,1042877.29,348250.71,110144.4,92731.81,17412.59
Paw Paw,1,4,1050763.58,960785.14,89978.44,354738,264759.56,89978.44,28320.04,23821.06,4498.98
Pawnee,4,20,9149159.25,8414416.98,734742.27,2884002,2149259.56,734742.44,230640.9,193903.65,36737.25
Paxton,3,15,5302943.23,4871354.39,431588.84,1780905,1349455.63,431449.37,134950.25,113377.69,21572.56
Payson,1,4,1798971.33,1635873.89,163097.44,469144,306046.42,163097.58,51287.19,43132.28,8154.91
Pearl,1,3,549250.35,504257.84,44992.51,152334,107341.49,44992.51,14058.77,11809.16,2249.61
Pearl City,2,8,1338947.95,1220687.6,118260.35,479961,361700.54,118260.46,37062.49,31149.44,5913.05
Pecatonica,5,23,8164029.11,7502860.7,661168.41,2742481,2081272.61,661208.39,207188.79,174128.24,33060.55
Pekin,37,174,95784996.38,88036112,7748884.38,28513497,20764440.32,7749056.68,2422516.83,2035062.72,387454.11
Peoria,66,270,145768243.8,134091422.5,11676821.29,47220350,35543202.45,11677147.55,3657620.06,3073760.91,583859.15
Peoria County,19,82,40775207.37,37487347.7,3287859.67,13219261,9931333.66,3287927.34,1021281.35,856884.29,164397.06
Peoria Heights,11,49,31733057.2,29204702.41,2528354.79,10903901,8375522.53,2528378.47,791239.76,664820.54,126419.22
Peotone,8,37,12779016.19,11775659.65,1003356.54,3979878,2976456.44,1003421.56,314274.22,264102.94,50171.28
Percy,2,10,2579508.05,2382271.26,197236.79,755735,558492.83,197242.17,62014.28,52152.08,9862.2
Perry,1,1,17177.73,14630.13,2547.6,5938,3390.4,2547.6,840.66,713.29,127.37
Peru,28,130,59871084.21,55101889.92,4769194.29,19510489,14741137.17,4769351.83,1493514.76,1255046.58,238468.18
Pesotum,1,4,865691.98,801237.74,64454.24,312822,248366.76,64455.24,20176.65,16953.86,3222.79
